,S,E,I,Q,R,N
41,965140059.0,8994820.0,18030203.0,1075.0,451118363.0,1443503123.0
42,959421520.0,7026673.0,14014643.0,838.0,462820879.0,1443503680.0
43,955049601.0,5270460.0,11039417.0,665.0,471924505.0,1443504170.0
44,961101327.0,14970386.0,10673965.0,570.0,456541278.0,1443506383.0
45,955775046.0,9807159.0,8847659.0,486.0,468856651.0,1443506351.0
46,955502559.0,10898862.0,7814358.0,418.0,469071901.0,1443507413.0
47,950946719.0,7037913.0,5815597.0,317.0,479487650.0,1443507905.0
48,951051159.0,7143350.0,5846747.0,318.0,479246640.0,1443507913.0
49,951245213.0,8161085.0,5224945.0,276.0,478658143.0,1443509257.0
50,1034117826.0,125579128.0,5148507.0,229.0,278465110.0,1443522267.0
51,1011214780.0,93953790.0,5260775.0,236.0,332877768.0,1443520854.0
52,1037854904.0,130663403.0,4493860.0,200.0,270303166.0,1443526392.0
53,1015003904.0,99303876.0,4744203.0,212.0,324258921.0,1443524069.0
54,1023221120.0,110754410.0,4285458.0,191.0,305053829.0,1443527049.0
55,1006846874.0,87160644.0,4038830.0,180.0,345271083.0,1443530780.0
56,975797252.0,42974630.0,3214948.0,145.0,421327661.0,1443530540.0
57,991687056.0,65144304.0,3406266.0,153.0,383082946.0,1443534914.0
58,997976648.0,73244176.0,3024610.0,135.0,369082472.0,1443541231.0
59,1030461362.0,120156367.0,3379033.0,150.0,289327139.0,1443534920.0
60,1036596103.0,129361591.0,3258332.0,144.0,274105607.0,1443532323.0
61,1014172804.0,97494913.0,3222075.0,143.0,328433597.0,1443535726.0
62,1020069667.0,105623266.0,3107269.0,138.0,314525060.0,1443537000.0
63,1025390157.0,111896461.0,2972053.0,132.0,303072816.0,1443542380.0
64,1001923988.0,79406858.0,2887263.0,129.0,359108871.0,1443540046.0
65,984926783.0,54208489.0,2491830.0,111.0,401702198.0,1443543581.0
66,1008861183.0,84917211.0,2204512.0,98.0,347367852.0,1443561648.0
67,1019013411.0,101963485.0,2614142.0,116.0,319746481.0,1443548500.0
68,983216226.0,50247237.0,2138873.0,96.0,407734667.0,1443550900.0
69,992528660.0,63625784.0,2290157.0,102.0,384893967.0,1443551600.0
70,1029032129.0,115629766.0,2354251.0,104.0,296324833.0,1443550930.0
71,1000154612.0,74293104.0,2227976.0,99.0,366665605.0,1443553527.0
72,1000091720.0,72273014.0,2023528.0,90.0,368962347.0,1443562214.0
73,1004231603.0,80105052.0,2182666.0,97.0,356822805.0,1443553970.0
74,1033772641.0,120930268.0,2155533.0,95.0,286489328.0,1443556887.0
75,1003684994.0,78960098.0,2040076.0,90.0,358659072.0,1443555984.0
76,1024370872.0,107326827.0,2038698.0,90.0,309613758.0,1443559850.0
77,1014071687.0,92113476.0,2005789.0,89.0,335161691.0,1443562989.0
78,1017147853.0,96422329.0,1945419.0,86.0,327837714.0,1443563370.0
79,1062004387.0,180192634.0,5547139.0,256.0,195527810.0,1443481433.0
80,1285213088.0,533412846.0,11897933.0,516.0,-387441382.0,1443286067.0
81,1005365911.0,79005598.0,1832771.0,81.0,357151235.0,1443566354.0
82,1017762156.0,166346906.0,10541503.0,471.0,248476590.0,1443302465.0
83,998073531.0,104960266.0,6124135.0,281.0,334071992.0,1443426293.0
84,965700294.0,48125179.0,3476154.0,160.0,426016336.0,1443463694.0
85,1227670204.0,482292803.0,17095389.0,735.0,-284034772.0,1443227636.0
86,1025031271.0,113076674.0,2611011.0,118.0,302611313.0,1443540682.0
87,1041385934.0,140983696.0,3240607.0,147.0,257700476.0,1443520833.0
88,1310539473.0,833057128.0,47917311.0,2131.0,-749257229.0,1442384983.0
89,903064878.0,69485726.0,7186793.0,333.0,461148229.0,1443066898.0
90,979464949.0,121232993.0,8776282.0,392.0,333774665.0,1443266953.0
91,872620739.0,130672116.0,13256761.0,614.0,422763789.0,1442690208.0
92,1104598939.0,384813742.0,23049483.0,1061.0,-69629193.0,1442955944.0
93,958774189.0,368894098.0,31095448.0,1423.0,89923165.0,1442213641.0
94,1142289877.0,397289751.0,18702038.0,852.0,-115365515.0,1443113646.0
95,984566157.0,299724311.0,23292121.0,1050.0,136142520.0,1442633511.0
96,437423361.0,169863103.0,23928490.0,1131.0,797950431.0,1440299687.0
97,736751105.0,67035883.0,9453362.0,429.0,629832978.0,1442235286.0
98,854329230.0,47372046.0,7053201.0,314.0,541069143.0,1442911318.0
99,623944978.0,225690618.0,25945623.0,1202.0,543725624.0,1441081318.0
100,1073603514.0,166035085.0,1128740.0,186.0,202638754.0,1443592833.0
101,359761966.0,80476370.0,12346332.0,575.0,988668448.0,1440299127.0
102,758225444.0,77957804.0,11456834.0,513.0,602088557.0,1442313494.0
103,790612116.0,87894691.0,12640493.0,564.0,562340030.0,1442442736.0
104,1060199028.0,146278246.0,1158541.0,380.0,235803896.0,1443600378.0
105,1043318110.0,124661341.0,1241519.0,223.0,274209171.0,1443595844.0
106,858025087.0,51025910.0,7307087.0,323.0,534928014.0,1442918411.0
107,-344839178.0,35146795.0,7009749.0,334.0,1739511632.0,1436961214.0
108,988475518.0,36965961.0,1323313.0,266.0,417198255.0,1443604101.0
109,-105772443.0,28007297.0,5640892.0,272.0,1510223315.0,1438183112.0
110,956014179.0,23909289.0,2734531.0,210.0,218217329.0,1443611862.0
111,979047882.0,24125103.0,1197986.0,151.0,439990776.0,1443598871.0
112,1101756410.0,200494170.0,756775.0,199.0,140403404.0,1443599107.0
113,1021698266.0,25184407.0,1974473.0,170.0,424854255.0,1443604219.0
114,1110519009.0,211654241.0,664073.0,142.0,120569011.0,1443597854.0
115,-851297053.0,16875266.0,3973541.0,193.0,2264408430.0,1434514075.0
116,965018724.0,20212930.0,3135605.0,126.0,484249322.0,1443624497.0
117,-127421841.0,13899342.0,3041422.0,145.0,1548371990.0,1438129988.0
118,965527074.0,22612222.0,3490897.0,140.0,484908350.0,1443626674.0
119,964185744.0,17343286.0,2660462.0,108.0,484520875.0,1443621117.0
120,965524436.0,14870034.0,2576577.0,126.0,478314826.0,1443627189.0
121,946933593.0,32919012.0,3572256.0,103.0,273940582.0,1443614708.0
122,966358334.0,19165463.0,3275204.0,137.0,478822664.0,1443630111.0
123,966096673.0,17574964.0,3150096.0,160.0,478259343.0,1443629902.0
124,938188768.0,48042847.0,5161230.0,146.0,202879258.0,1443621292.0
125,963930432.0,11427538.0,1977428.0,100.0,480021252.0,1443620367.0
126,532516176.0,100889302.0,8926901.0,148.0,179375100.0,1443632989.0
127,967979890.0,8097246.0,1836481.0,83.0,474461184.0,1443643299.0
128,541346243.0,-12832025.0,-1209254.0,133.0,318599605.0,1443291964.0
129,1026811493.0,74296032.0,1551189.0,121.0,341823610.0,1443629424.0
130,118621813.0,62775175.0,5567924.0,124.0,307004248.0,1443621071.0
131,-4108359567.0,6262274.0,1892881.0,94.0,5516365036.0,1418333372.0
132,1294988128.0,217351049.0,15232948.0,105.0,-5287223.0,1443645971.0
133,1269799190.0,115343096.0,9343890.0,150.0,198976799.0,1443631190.0
134,1652940091.0,400830341.0,29975492.0,143.0,-443744625.0,1443665404.0
