,S,E,I,Q,R,N
0,1154633644.0,288658411.0,1218.0,776.0,34.0,1443497378.0
1,1154633644.0,288658314.0,1315.0,776.0,34.0,1443497378.0
2,1154633644.0,288657826.0,1803.0,776.0,34.0,1443497378.0
3,1154633645.0,288655389.0,4239.0,776.0,34.0,1443497378.0
4,1154633648.0,288643207.0,16418.0,776.0,34.0,1443497378.0
5,1154633660.0,288582304.0,77302.0,776.0,41.0,1443497378.0
6,1154633735.0,288277970.0,381376.0,775.0,228.0,1443497379.0
7,1154633874.0,287559856.0,1098142.0,774.0,1438.0,1443497380.0
8,1154634161.0,286182538.0,2469473.0,771.0,7140.0,1443497382.0
9,1154634770.0,283985940.0,4643426.0,766.0,29185.0,1443497388.0
10,1154635422.0,280216853.0,8357861.0,762.0,83189.0,1443497393.0
11,1154636694.0,275229977.0,13200219.0,756.0,226444.0,1443497404.0
12,1154638179.0,267992556.0,20145048.0,757.0,517554.0,1443497417.0
13,1154640259.0,258695631.0,28865091.0,766.0,1092352.0,1443497435.0
14,1154642990.0,247073743.0,39440395.0,793.0,2136184.0,1443497458.0
15,1154646672.0,233328889.0,51373953.0,850.0,3943749.0,1443497489.0
16,1154651455.0,217435086.0,64312139.0,952.0,6894487.0,1443497530.0
17,1154658429.0,200858374.0,76107959.0,1115.0,11668243.0,1443497590.0
18,1154663034.0,176519402.0,94401323.0,1354.0,17708993.0,1443497629.0
19,1154679807.0,164633764.0,94734085.0,1685.0,29244727.0,1443497773.0
20,1154692899.0,140956559.0,104066261.0,2121.0,43576126.0,1443497884.0
21,1154692899.0,108673229.0,125055253.0,2569.0,54869909.0,1443497884.0
22,1152111877.0,84975128.0,128927566.0,3165.0,77275860.0,1443498016.0
23,1145987882.0,73312358.0,126510025.0,3584.0,97479445.0,1443498145.0
24,1138060445.0,64717497.0,123061870.0,3921.0,117449207.0,1443498268.0
25,1134291828.0,60698742.0,121678377.0,4068.0,126619748.0,1443498315.0
26,1118757615.0,54629486.0,112844971.0,4331.0,157055688.0,1443498533.0
27,1106168527.0,49607469.0,106319236.0,4451.0,181191810.0,1443498698.0
28,1093042336.0,47337967.0,98141414.0,4416.0,204764719.0,1443498897.0
29,1105845380.0,49765320.0,106313151.0,4386.0,181363305.0,1443498788.0
30,1101922960.0,48866157.0,103786234.0,4425.0,188711538.0,1443498794.0
31,1099716917.0,47686458.0,102923218.0,4400.0,192960266.0,1443498897.0
32,1079457848.0,41643135.0,91439371.0,4355.0,230745440.0,1443499135.0
33,1072387768.0,40028607.0,87154672.0,4247.0,243714553.0,1443499345.0
34,1055645618.0,36994358.0,76360683.0,3939.0,274284325.0,1443499677.0
35,1034834674.0,31466745.0,63440528.0,3454.0,313542294.0,1443500121.0
36,1015320844.0,24300648.0,51914434.0,2942.0,351747664.0,1443500605.0
37,1002299356.0,21993371.0,42567937.0,2443.0,376422780.0,1443501116.0
38,985832560.0,14313231.0,33032549.0,1957.0,410104625.0,1443501621.0
39,976513957.0,11881990.0,26393534.0,1573.0,428493533.0,1443502145.0
40,972244872.0,11757150.0,22744007.0,1344.0,436537292.0,1443502618.0
