,S,E,I,Q,R,N
0,1154633644.0,288658411.0,1218.0,776.0,34.0,1443497378.0
1,1154633644.0,288658314.0,1315.0,776.0,34.0,1443497378.0
2,1154633644.0,288657826.0,1803.0,776.0,34.0,1443497378.0
3,1154633645.0,288655389.0,4239.0,776.0,34.0,1443497378.0
4,1154633648.0,288643207.0,16418.0,776.0,34.0,1443497378.0
5,1154633662.0,288582302.0,77303.0,776.0,40.0,1443497378.0
6,1154633755.0,288277950.0,381395.0,775.0,208.0,1443497379.0
7,1154634237.0,287659521.0,997096.0,772.0,2455.0,1443497383.0
8,1154634962.0,286538970.0,2107950.0,784.0,11414.0,1443497389.0
9,1154636129.0,284687260.0,3929739.0,843.0,40106.0,1443497399.0
10,1154637893.0,281863896.0,6674395.0,1022.0,116864.0,1443497414.0
11,1154640446.0,277872846.0,10483772.0,1452.0,295531.0,1443497436.0
12,1154643205.0,272566455.0,15465113.0,2235.0,616988.0,1443497460.0
13,1154645236.0,264411184.0,23107467.0,3493.0,1126522.0,1443497477.0
14,1154647563.0,253807266.0,32888573.0,5479.0,1944841.0,1443497497.0
15,1154650296.0,240532777.0,44884981.0,8491.0,3216840.0,1443497520.0
16,1154654934.0,227622003.0,55807112.0,12890.0,5195743.0,1443497560.0
17,1154660763.0,213292647.0,67193549.0,18992.0,8125416.0,1443497610.0
18,1154665731.0,193314258.0,83102574.0,27168.0,12179616.0,1443497652.0
19,1154679879.0,184685190.0,85331728.0,37071.0,18550471.0,1443497774.0
20,1154692849.0,163153271.0,97183709.0,51038.0,28195155.0,1443497884.0
21,1154692849.0,150723704.0,106471345.0,56544.0,31329460.0,1443497884.0
22,1154686248.0,160535466.0,98611801.0,52804.0,29388693.0,1443497893.0
23,1154665215.0,161198115.0,97556254.0,53173.0,29801756.0,1443497901.0
24,1118668764.0,177866307.0,63730179.0,59871.0,82859407.0,1443499243.0
25,1105772243.0,174716589.0,61225274.0,59567.0,101377671.0,1443499637.0
26,1144844709.0,188395326.0,61698895.0,58385.0,48247667.0,1443498278.0
27,1139490351.0,192207489.0,57178004.0,58153.0,54300037.0,1443498391.0
28,1131603602.0,197379865.0,51851811.0,56033.0,62327067.0,1443498564.0
29,1125882385.0,197703440.0,50733205.0,54265.0,68832393.0,1443498734.0
30,1110209050.0,191867813.0,50522802.0,52476.0,90513812.0,1443499229.0
31,1094784528.0,187807467.0,48151642.0,49773.0,112331989.0,1443499737.0
32,1079036044.0,183154115.0,45691330.0,47155.0,135154419.0,1443500222.0
33,1062960419.0,176502398.0,44201661.0,45478.0,159328941.0,1443500714.0
34,1049415550.0,170899699.0,42744360.0,43819.0,179897847.0,1443501228.0
35,1017111167.0,156382779.0,39189052.0,40061.0,230186471.0,1443502529.0
36,970877867.0,129846063.0,36000095.0,36897.0,306011776.0,1443504394.0
37,960634452.0,124556523.0,34549152.0,35481.0,322966138.0,1443504902.0
38,939043365.0,111597874.0,32290753.0,33249.0,359709818.0,1443505868.0
39,914972669.0,95576998.0,30157606.0,31156.0,401860238.0,1443506801.0
40,899339592.0,88018693.0,26350272.0,27191.0,428813247.0,1443508193.0
