,S,E,I,Q,R,N
83,1545553418.0,1293155177.0,11232074.0,2158.0,-1407339946.0,1442759805.0
84,1071885052.0,104637825.0,1221068.0,249.0,265602783.0,1443563918.0
85,1064945039.0,89363057.0,1203902.0,247.0,287836420.0,1443566937.0
86,1088614847.0,128513400.0,860133.0,776.0,225517988.0,1443594739.0
87,1054583112.0,63850593.0,1019665.0,288.0,323921917.0,1443578836.0
88,1126241369.0,332240165.0,11191127.0,2293.0,-26655209.0,1443216493.0
89,1041224617.0,37194386.0,854278.0,197.0,364087043.0,1443574559.0
90,1018253410.0,59489217.0,3305017.0,691.0,360595361.0,1443376312.0
91,971526495.0,69522897.0,4997258.0,1088.0,395152531.0,1443064076.0
92,1155043717.0,330324860.0,3385831.0,722.0,-45573424.0,1443388575.0
93,820760069.0,44429365.0,4428021.0,962.0,573038260.0,1442256885.0
94,1246603520.0,560173694.0,3782786.0,731.0,-367537803.0,1443220351.0
95,1111478187.0,171191189.0,865599.0,1026.0,160089392.0,1443605293.0
96,1071727027.0,87837928.0,1305688.0,1377.0,282956447.0,1443616257.0
97,869799268.0,26245155.0,2667214.0,580.0,543963927.0,1442597815.0
98,823211228.0,41507783.0,4657664.0,986.0,574134351.0,1442282603.0
99,1051111289.0,47547446.0,560648.0,755.0,344399715.0,1443598644.0
100,888091440.0,37100195.0,3936654.0,826.0,514869950.0,1442673918.0
101,1129153793.0,206684226.0,810852.0,663.0,106896149.0,1443600004.0
102,831213893.0,19781797.0,2597574.0,540.0,589357681.0,1442396248.0
103,1023288767.0,16949843.0,1012868.0,426.0,363083054.0,1443602178.0
104,1028722306.0,13332045.0,1086714.0,303.0,487522685.0,1443604404.0
105,1031107179.0,18564175.0,1677988.0,457.0,433215805.0,1443613723.0
106,1079593501.0,112805404.0,837012.0,347.0,250183301.0,1443587665.0
107,307174126.0,8328651.0,1295754.0,293.0,1122219327.0,1439383266.0
108,1028795374.0,10640221.0,832321.0,248.0,451049193.0,1443602856.0
109,748580883.0,9349274.0,1242121.0,265.0,682808959.0,1441945040.0
110,1030152827.0,11424579.0,1121821.0,199.0,422086332.0,1443608031.0
111,1030193482.0,6260613.0,719487.0,179.0,413210215.0,1443608787.0
112,1026842535.0,4217826.0,468694.0,140.0,424220413.0,1443607703.0
113,1031772500.0,8582633.0,1083552.0,209.0,411368409.0,1443617023.0
114,1019674856.0,3176011.0,369890.0,113.0,431779467.0,1443568410.0
115,1030498323.0,7405081.0,848372.0,159.0,413388260.0,1443609775.0
