,S,E,I,Q,R,N
0,1154633644.0,288658411.0,1218.0,776.0,34.0,1443497378.0
1,1154633644.0,288658313.0,1315.0,776.0,34.0,1443497378.0
2,1154633644.0,288657826.0,1803.0,776.0,34.0,1443497378.0
3,1154633645.0,288655389.0,4239.0,776.0,34.0,1443497378.0
4,1154633648.0,288643207.0,16418.0,776.0,34.0,1443497378.0
5,1154633661.0,288582303.0,77303.0,776.0,40.0,1443497378.0
6,1154633724.0,288277981.0,381433.0,775.0,170.0,1443497379.0
7,1154634208.0,287663494.0,993092.0,772.0,2517.0,1443497383.0
8,1154634868.0,286540470.0,2106511.0,782.0,11453.0,1443497389.0
9,1154635942.0,284679637.0,3937466.0,834.0,40206.0,1443497398.0
10,1154637586.0,281867445.0,6670852.0,992.0,117210.0,1443497412.0
11,1154639950.0,277873700.0,10482823.0,1376.0,296230.0,1443497432.0
12,1154642517.0,272331324.0,15689778.0,2099.0,628335.0,1443497454.0
13,1154644503.0,264003859.0,23482150.0,3272.0,1160217.0,1443497471.0
14,1154646733.0,253151806.0,33475574.0,5127.0,2014655.0,1443497490.0
15,1154650760.0,242738022.0,42507197.0,7950.0,3389727.0,1443497525.0
16,1154655663.0,230770051.0,52392849.0,11994.0,5462633.0,1443497567.0
17,1154660327.0,214680941.0,65494511.0,17594.0,8439034.0,1443497607.0
18,1154664858.0,194182102.0,81787285.0,25180.0,12631724.0,1443497646.0
19,1154670296.0,171030038.0,99036440.0,35147.0,18517149.0,1443497693.0
20,1154683286.0,158675731.0,102903401.0,46227.0,26976040.0,1443497804.0
21,1154692608.0,144683179.0,108853664.0,55778.0,34994846.0,1443497884.0
22,1154681551.0,144675894.0,108553111.0,55901.0,35313326.0,1443497893.0
23,1154650843.0,151773386.0,103296701.0,52798.0,33506699.0,1443497901.0
24,1105636100.0,181670731.0,65420074.0,58030.0,90435672.0,1443499230.0
25,1085615961.0,178956795.0,64195872.0,59031.0,114367089.0,1443499623.0
26,1140583719.0,182343498.0,65908786.0,58088.0,54365805.0,1443498280.0
27,1133472846.0,188689468.0,60588939.0,57312.0,60444315.0,1443498391.0
28,1015718531.0,168527029.0,59035257.0,56401.0,199762582.0,1443501115.0
