beta_bd,beta_iq,beta_ir,beta_qr,gamma_2,i_I,i_Q
0.07416394200278721,0.9475554479465661,0.07976948227117418,0.035429722433430476,0.5932415965792096,1.8275013638840305e-05,0.0002167186148724755
0.17160802009489023,0.9996592961610045,0.1682816546498599,0.07410540020746204,0.17508397773605291,4.660285724845427e-05,0.0002513282578683557
0.19943812096360647,0.7860225464455945,0.12318685076140172,0.12198757627126017,0.0012239564690870036,0.00013687799324944372,0.0007978229446330364
0.7236085926277557,0.940451045199779,0.10295516737407023,0.169730703730289,0.10191719588685916,7.67956010828249e-05,0.00017246657647167045
0.5790682068599836,0.7732911586728739,0.03605176988745292,0.0011912728847181392,0.028025074516734413,0.0010288085560299595,0.0004993642445033093
0.39448765801076835,0.8441808721350251,0.00025884191867758116,0.0016231029422669636,0.053193734754148736,0.0007889778447809821,0.001037499380862467
0.9459240594022009,0.9498211762234057,0.30699961818377774,0.3171754952345947,0.034372895432503776,0.000956441069255756,0.01659236041360164
0.5458302438537839,0.9294868189496712,0.14075933910588045,0.29960356366687946,0.18145385398420305,0.001159824017422533,5.399398680532366e-05
0.7728357407618793,0.7662441150589725,0.061031460293677134,0.04554317822202207,0.030541994096463222,0.0001518868006932759,0.00027372930994564923
0.19698286000134962,0.6911737584155593,1.371616324010217e-05,0.035707649121546677,0.5326539308074479,0.0013647019437510542,0.00044413048705630104
0.854478880490999,0.2359257957009298,0.4448282937560647,0.9555302026309452,0.8350787239130322,0.00015973141920935953,0.018368959649033574
0.8720306989438467,0.8391004456504768,0.0759709037043228,0.00032788055881674983,0.7874872846547725,0.0005084599537280169,9.76022197214583e-05
0.6642644193329973,0.9653170541245594,8.468203801543486e-06,0.8279198423971779,0.794523853223327,0.37584646712163383,0.7797256658205383
0.2463495188408857,0.7678316395636897,0.6343983628413261,0.5503422583258228,0.7354712747691274,0.0006201773968963972,0.0008655455170530565
0.9802128313525195,0.997800779970015,3.110233028813627e-05,0.9855448474496064,0.4542032224997778,0.021297388479725062,0.1284848698674451
0.0023955447434501898,0.20258878806166708,0.8009033023192476,0.5608819415849684,0.5362879344665556,0.0008260617631245526,0.0042340143375477115
0.9691498060410627,0.37989136903024684,0.22467271670868375,0.8900122238039063,0.6859386919190782,0.0004857632256575083,0.002095628733230788
0.5032526829544302,0.0007848717120873144,0.00040904358707656227,0.20617091061997994,0.47588453673908854,0.11403910038040385,0.9326171264457164
0.11796669768611256,0.000908860535551108,0.0003424781480102952,0.43195087310465197,0.02419912609216591,0.0004141285661845018,0.9300314991696058
0.5283463117345942,0.0011007616630654264,0.09278202160443699,0.5889953663095577,0.16845449704222754,0.21391762879262502,0.6572355645795471
0.6087655711675604,0.0013029822815548943,0.6118043870967471,0.39010215153129585,0.08556780946858815,0.5207372869921616,0.3285599617213726
0.8384332438310124,0.0014281294818888376,0.8171950799893426,0.24946960890555347,0.17643299343731722,0.1664062066991178,0.872356443405347
0.007225795889967963,0.0024573378722273853,0.7871905824224119,0.970630803123883,0.7909865067799801,0.1920791635472089,0.7779626682998593
0.303807259514874,0.001275186157641812,0.9850304155948955,0.1227284866734499,0.5822444459694041,0.986149679836742,0.24214495742938247
0.33757570825247357,0.0007774161753270534,0.42627174002604973,0.3347981510879292,0.4742800728560119,0.17633398363034075,0.17077894803286187
0.47201935476796036,0.000822999862102087,0.5114155631209704,0.7821343495457652,0.8437384979111578,0.7842792135064203,0.7101714244636904
0.030843828284981688,0.0008910264736762856,0.7143244825688789,0.38160477254821185,0.8742764447002812,0.5365398929880946,0.5039280167551812
0.07683055238802955,0.000691656556802218,0.8039319816394167,0.22275764315726296,0.5724127122943498,0.5560941378901809,0.4561420427160003
0.18240663895849177,0.0006807393316695315,0.8007427747079396,0.4021329249963714,0.2902414170327394,0.38841408987282694,0.7337715571067663
0.22993755266722637,0.01679947970590194,0.3798196804299119,0.7592993961459016,0.6576473852367686,0.0053918045047567364,0.0544582444070641
0.47079996031726434,0.000618794969418729,0.5563148876055946,0.34928587277615647,0.17332923733158684,0.13648872588967614,0.5175347122278393
0.7684357620123667,0.0005198249593828982,0.6824045157741574,0.13724710547216323,0.8853327743239866,0.7554500292619623,0.8139909185910364
0.15982179355744855,0.0006944472382390504,0.8202113728718488,0.5837833089081493,0.6246638776682109,0.9390396842970563,0.07875086441606474
0.6601580061270699,0.000182330639175863,0.5331429591808461,0.25880910558657416,0.15920829102150946,0.7685749014844491,0.7305774603876979
0.4959824609703961,0.0007557939221079493,0.4762552015700063,0.5538109243085273,0.18773188743548466,0.10002126905461112,0.8526030250148442
0.8147105802170806,0.0006120006588714377,0.7198616297107582,0.8227282976063527,0.6366802593278416,0.9433307777013796,0.21607725228531377
0.48349074077623333,0.0004182563438319598,0.32409857651868723,0.8588170287728358,0.5622294776128913,0.46355899244298177,0.7358884279102015
0.591892124356898,0.0005034811876385376,0.3528293784800168,0.3928566431986382,0.652872855527012,0.15702927091734423,0.3838154257981248
0.665556267206955,0.0009482389040395866,0.47673645241723983,0.9413873575930324,0.862296713602865,0.27526592304178565,0.8954745675285621
0.35092130833644863,0.000855331950689429,0.4637217839069929,0.6966172813261344,0.48531140314457094,0.6013883566586975,0.9322641362817111
0.8878206108862894,0.000521989379701341,0.39275672166891795,0.43322721781079926,0.6610064087067758,0.08937031235663201,0.15206547866680023
0.8966280364101924,0.00032818079639341727,0.6492909786369446,0.262377199537999,0.49573737365696785,0.8252958617701378,0.9453983685616134
0.5661124557041274,0.0008927730659305383,0.3957523588335724,0.7435528009674506,0.6070360592669154,0.10050545845427758,0.10631441588700213
0.32973135864738523,0.00029956991655661876,0.16992231631103313,0.8186777518024034,0.6567673456595642,0.13724586553430454,0.4162355368578131
0.8347511354299497,0.0007593959678429095,0.5765157913392701,0.2179979263047485,0.953239584562598,0.12400633787195386,0.7943098621501541
0.26378090741145566,0.0008157422081937057,0.2740018680776233,0.4658564508601066,0.3077741503988763,0.07644205251105719,0.280772677878831
0.17029270236607877,0.00028290504010798563,0.19150659638974923,0.895583011270618,0.062376399821371165,0.7400490703593554,0.6778456585311271
0.4548373276290305,0.00027331158740094563,0.2306825760527701,0.3579553568880955,0.8856761235755123,0.6011098015299255,0.5155139360799375
0.7000491807991631,0.0006053699637283039,0.4905472030229102,0.6690161357296969,0.9596406283424399,0.8286918558030785,0.1611850376679329
0.7284195440454682,0.00114466350283824,0.6046514654468528,0.5617380744708925,0.49513934308211427,0.09180625570337014,0.525640995813756
0.38665673949562607,0.0003989603972807045,0.36547505158323884,0.11471471768632933,0.9090951637323058,0.857669208492805,0.06676616824456325
0.6281947316150271,0.0012598920053437021,0.4421635289041318,0.6716629570270095,0.9839155176657318,0.5283423005740632,0.2889761312366313
0.1255815050717713,0.0009293497360647752,0.18835305098655408,0.9511319761921243,0.9681742705831783,0.1701875158404283,0.2689236352990675
0.1100942524687122,0.000860456968413293,0.12741970579102369,0.11884580384421661,0.6832310392906799,0.2756524814439181,0.5192646725063392
0.19339841136566852,0.0005999094150973272,0.23147398829943816,0.9916584606728485,0.8886979141384113,0.07985335954686373,0.8865544544578529
0.32531024938338843,0.000672354718066457,0.3080758174482604,0.545708760255445,0.9136706838155012,0.7726482191591878,0.22061041689659194
0.22859858294344534,0.016260286886033006,0.89900149903881,0.9671120414829393,0.9968118876355113,0.12237362559649506,0.21934419045586212
0.41949801810564646,0.02271372603808968,0.9985357683780433,0.9990255227342039,0.6869238841830768,0.2018205358797448,0.4213527765638562
0.279372933338336,0.017680391152304117,0.7904352460364326,0.8267166313015439,0.05251538312815798,0.12496093014215418,0.5055199100206285
0.27321447473971294,0.00032789101182421486,0.2760869362536412,0.6109190566282505,0.36843385328824335,0.967100550943246,0.4454967180503817
0.3115583825635353,0.0005950315853918038,0.36918729343949963,0.42960599320065956,0.2305104508322881,0.8097500768828593,0.21456707702227645
0.2299972012057575,0.016629489281197122,0.690395703582489,0.6069548543180583,0.8705912886844347,0.23228678324058255,0.32702603778854145
0.14399691463385095,0.00023683888028706095,0.12679900158930196,0.42853768118998636,0.48277270346668977,0.06772452782322747,0.07216478472693433
0.6853837254923234,0.003300153845705478,0.4372971850824971,0.7552588512595605,0.6849360508941456,0.5000406364262029,0.4312441258936534
0.3428961140984165,0.01789650573437951,0.9647677565689697,0.5316336449855753,0.8864307811782873,0.11374881572340184,0.08241974458701877
0.18221552315110867,0.00025749664768996705,0.11943243098135592,0.8127168590883315,0.42946547678752883,0.28739443049667207,0.3365428516840091
0.5387632772735488,0.018898132555947123,0.9655396219948934,0.287412979203412,0.937973481420447,0.3254114712727008,0.2765652895607116
0.5168873336930049,0.016437116396783275,0.950648594009879,0.8516634748268195,0.4481123518604275,0.24713019525030644,0.14544484619535275
0.7589297163788238,0.0008712370727827433,0.7470051275646253,0.5178467734760798,0.5870540908675624,0.0622213906432403,0.760729388493268
0.556835643196396,0.022029433361606378,0.9275356173113553,0.6447955396766378,0.36320610149613414,0.24604655154827804,0.6321383009011419
0.5856672028656965,0.0011687001986108272,0.8069995890197182,0.7105302068502983,0.8350011183457569,0.020172854686700725,0.8657401797312754
0.7542633503648997,0.017410288225391465,0.9221389018027482,0.960545009276945,0.41710560461037277,0.22176529535202358,0.4015248806167333
0.25023485329197126,0.01856358439413778,0.8938418609215169,0.9695804668762414,0.5580126774451447,0.09332256632959646,0.5344102907875253
0.018117552699719222,0.0029263209828581833,0.9979087820029321,0.5011866463696002,0.9887380579736194,0.014602341444927336,0.43096287701863845
0.6924020175061232,0.018172471855502272,0.4576230648493515,0.28629596037138,0.40748133775714146,0.0989053111595286,0.702904769729516
0.6681413746915719,0.0016470679478321052,0.7416710628304264,0.927193721298063,0.6063774601225822,0.008470677964921791,0.2828706212648921
0.9671269831091306,0.0011498998902409706,0.9670749653550521,0.4091639107350961,0.5757448281932849,0.049026118401969604,0.9439183869091196
0.7019188399630947,0.016851053676680633,0.7753091159978451,0.9470618654327407,0.21632401845039131,0.3302197139911498,0.6061411341296172
0.7701517607193504,0.019726497201744953,0.7956713254983653,0.8713650541383784,0.9406065832126369,0.0004143880179742765,0.03514825494540757
0.7874595108965508,0.0008506071982372418,0.6845905658615521,0.5201693922977119,0.9796055989976147,0.018957429444197677,0.7720536608017136
0.345585543573434,0.015623096996751303,0.9996555860821386,0.8183011290105421,0.2859155887484909,0.04892213529494133,0.053809453666352744
0.4470135439668017,0.0013636687639080533,0.5675307875698526,0.414707584040127,0.5830126616159805,0.032178591531000125,0.054340514674329723
